"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
10733,62,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental",18,"Lulua","","","Sous-régions","Sub-region"
10734,62,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",19,"Kabinda","","","Sous-régions","Sub-region"
10735,62,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",20,"Mbuji-Mayi","","","Sous-régions","Sub-region"
10736,62,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",21,"Sankuru","","","Sous-régions","Sub-region"
10737,62,"COD","Democratic Republic of the Congo",5,"Kasaï-Oriental",22,"Tshilenge","","","Sous-régions","Sub-region"
10738,62,"COD","Democratic Republic of the Congo",6,"Katanga",23,"Haut-Lomami","","","Sous-régions","Sub-region"
10739,62,"COD","Democratic Republic of the Congo",6,"Katanga",24,"Haut-Shaba","","","Sous-régions","Sub-region"
10740,62,"COD","Democratic Republic of the Congo",6,"Katanga",25,"Kolwezi","","","Sous-régions","Sub-region"
10741,62,"COD","Democratic Republic of the Congo",6,"Katanga",26,"Lualaba","","","Sous-régions","Sub-region"
10742,62,"COD","Democratic Republic of the Congo",6,"Katanga",27,"Lubumbashi","","","Sous-régions","Sub-region"
10743,62,"COD","Democratic Republic of the Congo",6,"Katanga",28,"Tanganika","","","Sous-régions","Sub-region"
10744,62,"COD","Democratic Republic of the Congo",7,"Kinshasa City",29,"Kinshasa","","","Sous-régions","Sub-region"
10745,62,"COD","Democratic Republic of the Congo",8,"Kivu",30,"Bukavu","","","Sous-régions","Sub-region"
10746,62,"COD","Democratic Republic of the Congo",8,"Kivu",31,"Maniema","","","Sous-régions","Sub-region"
10747,62,"COD","Democratic Republic of the Congo",8,"Kivu",32,"Nord-Kivu","","","Sous-régions","Sub-region"
10748,62,"COD","Democratic Republic of the Congo",8,"Kivu",33,"Sud-Kivu","","","Sous-régions","Sub-region"
10749,62,"COD","Democratic Republic of the Congo",9,"Orientale",34,"Bas-Uele","","","Sous-régions","Sub-region"
10750,62,"COD","Democratic Republic of the Congo",9,"Orientale",35,"Haut-Uele","","","Sous-régions","Sub-region"
13942,62,"COD","Democratic Republic of the Congo",1,"Bandundu",1,"Bandundu","","","Sous-régions","Sub-region"
13943,62,"COD","Democratic Republic of the Congo",1,"Bandundu",2,"Kwango","","","Sous-régions","Sub-region"
13944,62,"COD","Democratic Republic of the Congo",1,"Bandundu",3,"Kwilu","","","Sous-régions","Sub-region"
13945,62,"COD","Democratic Republic of the Congo",1,"Bandundu",4,"Mai-Ndombe","","","Sous-régions","Sub-region"
13946,62,"COD","Democratic Republic of the Congo",2,"Bas-Congo",5,"Bas-Fleuve","","","Sous-régions","Sub-region"
13947,62,"COD","Democratic Republic of the Congo",2,"Bas-Congo",6,"Boma","","","Sous-régions","Sub-region"
13948,62,"COD","Democratic Republic of the Congo",2,"Bas-Congo",7,"Cataractes","","","Sous-régions","Sub-region"
13949,62,"COD","Democratic Republic of the Congo",2,"Bas-Congo",8,"Lukaya","","","Sous-régions","Sub-region"
13950,62,"COD","Democratic Republic of the Congo",2,"Bas-Congo",9,"Matadi","","","Sous-régions","Sub-region"
13951,62,"COD","Democratic Republic of the Congo",3,"Équateur",10,"Équateur","","","Sous-régions","Sub-region"
13952,62,"COD","Democratic Republic of the Congo",3,"Équateur",11,"Mbandaka","","","Sous-régions","Sub-region"
13953,62,"COD","Democratic Republic of the Congo",3,"Équateur",12,"Mongala","","","Sous-régions","Sub-region"
13954,62,"COD","Democratic Republic of the Congo",3,"Équateur",13,"Nord-Ubangi","","","Sous-régions","Sub-region"
13955,62,"COD","Democratic Republic of the Congo",3,"Équateur",14,"Sud-Ubangi","","","Sous-régions","Sub-region"
13956,62,"COD","Democratic Republic of the Congo",3,"Équateur",15,"Tshuapa","","","Sous-régions","Sub-region"
13957,62,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental",16,"Kananga","","","Sous-régions","Sub-region"
13958,62,"COD","Democratic Republic of the Congo",4,"Kasaï-Occidental",17,"Kasaï","","","Sous-régions","Sub-region"
13959,62,"COD","Democratic Republic of the Congo",9,"Orientale",36,"Ituri","","","Sous-régions","Sub-region"
13960,62,"COD","Democratic Republic of the Congo",9,"Orientale",37,"Kisangani","","","Sous-régions","Sub-region"
13961,62,"COD","Democratic Republic of the Congo",9,"Orientale",38,"Tshopo","","","Sous-régions","Sub-region"
