"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
20732,118,"KEN","Kenya",1,"Central",1,"Kiambu","","","Wilaya","District"
20733,118,"KEN","Kenya",1,"Central",2,"Kirinyaga","","","Wilaya","District"
20734,118,"KEN","Kenya",1,"Central",3,"Machakos","","","Wilaya","District"
20735,118,"KEN","Kenya",1,"Central",4,"Murang'a","","","Wilaya","District"
20736,118,"KEN","Kenya",1,"Central",5,"Nyandarua","","","Wilaya","District"
20737,118,"KEN","Kenya",1,"Central",6,"Nyeri","","","Wilaya","District"
20738,118,"KEN","Kenya",2,"Coast",7,"Kilifi","","","Wilaya","District"
20739,118,"KEN","Kenya",2,"Coast",8,"Kwale","","","Wilaya","District"
20740,118,"KEN","Kenya",2,"Coast",9,"Lamu","","","Wilaya","District"
20741,118,"KEN","Kenya",2,"Coast",10,"Mombasa","","","Wilaya","District"
20742,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta","","Taita","Wilaya","District"
20743,118,"KEN","Kenya",2,"Coast",12,"Tana River","","","Wilaya","District"
20744,118,"KEN","Kenya",3,"Eastern",13,"Embu","","","Wilaya","District"
20745,118,"KEN","Kenya",3,"Eastern",14,"Isiolo","","","Wilaya","District"
20746,118,"KEN","Kenya",3,"Eastern",15,"Kitui","","","Wilaya","District"
20747,118,"KEN","Kenya",3,"Eastern",16,"Machakos","","","Wilaya","District"
20748,118,"KEN","Kenya",3,"Eastern",17,"Makueni","","","Wilaya","District"
20749,118,"KEN","Kenya",3,"Eastern",18,"Marsabit","","","Wilaya","District"
20750,118,"KEN","Kenya",3,"Eastern",19,"Meru","","","Wilaya","District"
20751,118,"KEN","Kenya",3,"Eastern",20,"Nithi","","","Wilaya","District"
20752,118,"KEN","Kenya",3,"Eastern",21,"Wajir","","","Wilaya","District"
20753,118,"KEN","Kenya",4,"Nairobi",22,"Nairobi","","","Wilaya","District"
20754,118,"KEN","Kenya",5,"North-Eastern",23,"Garissa","","","Wilaya","District"
20755,118,"KEN","Kenya",5,"North-Eastern",24,"Mandera","","","Wilaya","District"
20756,118,"KEN","Kenya",5,"North-Eastern",25,"Wajir","","","Wilaya","District"
20757,118,"KEN","Kenya",6,"Nyanza",26,"Homa Bay","","","Wilaya","District"
20758,118,"KEN","Kenya",6,"Nyanza",27,"Kisii","","","Wilaya","District"
20759,118,"KEN","Kenya",6,"Nyanza",28,"Kisumu","","","Wilaya","District"
20760,118,"KEN","Kenya",6,"Nyanza",29,"Migori","","","Wilaya","District"
20761,118,"KEN","Kenya",6,"Nyanza",30,"Nyamira","","North Kisii","Wilaya","District"
20762,118,"KEN","Kenya",6,"Nyanza",31,"Siaya","","","Wilaya","District"
20763,118,"KEN","Kenya",7,"Rift Valley",32,"Baringo","","","Wilaya","District"
20764,118,"KEN","Kenya",7,"Rift Valley",33,"Bomet","","","Wilaya","District"
20765,118,"KEN","Kenya",7,"Rift Valley",34,"Elgeyo-Marakwet","","E. Marakwet","Wilaya","District"
20766,118,"KEN","Kenya",7,"Rift Valley",35,"Kericho","","","Wilaya","District"
20767,118,"KEN","Kenya",7,"Rift Valley",36,"Laikipia","","","Wilaya","District"
20768,118,"KEN","Kenya",7,"Rift Valley",37,"Nakuru","","","Wilaya","District"
20769,118,"KEN","Kenya",7,"Rift Valley",38,"Nandi","","","Wilaya","District"
20770,118,"KEN","Kenya",7,"Rift Valley",39,"Narok","","","Wilaya","District"
20771,118,"KEN","Kenya",7,"Rift Valley",40,"Samburu","","","Wilaya","District"
20772,118,"KEN","Kenya",7,"Rift Valley",41,"Trans-Nzoia","","","Wilaya","District"
20773,118,"KEN","Kenya",7,"Rift Valley",42,"Turkana","","","Wilaya","District"
20774,118,"KEN","Kenya",7,"Rift Valley",43,"Uasin Gishu","","","Wilaya","District"
20775,118,"KEN","Kenya",7,"Rift Valley",44,"West Pokot","","","Wilaya","District"
20776,118,"KEN","Kenya",8,"Western",45,"Bungoma","","","Wilaya","District"
20777,118,"KEN","Kenya",8,"Western",46,"Busia","","","Wilaya","District"
20778,118,"KEN","Kenya",8,"Western",47,"Kakamega","","","Wilaya","District"
20779,118,"KEN","Kenya",8,"Western",48,"Vihiga","","","Wilaya","District"
