"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
42969,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu","","","Tarafa|Taarafa","Division"
42970,118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri","","","Tarafa|Taarafa","Division"
42971,118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa","","","Tarafa|Taarafa","Division"
42972,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu","","","Tarafa|Taarafa","Division"
42973,118,"KEN","Kenya",1,"Central",1,"Kiambu",5,"Lari","","","Tarafa|Taarafa","Division"
42974,118,"KEN","Kenya",1,"Central",1,"Kiambu",6,"Limuru","","","Tarafa|Taarafa","Division"
42975,118,"KEN","Kenya",1,"Central",1,"Kiambu",7,"Thika","","","Tarafa|Taarafa","Division"
42976,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",8,"Gichugu","","","Tarafa|Taarafa","Division"
42977,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",9,"Mt. Kenya","","","Tarafa|Taarafa","Division"
42978,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",10,"Mwea","","","Tarafa|Taarafa","Division"
42979,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",11,"Ndia","","","Tarafa|Taarafa","Division"
42980,118,"KEN","Kenya",1,"Central",3,"Machakos",12,"Masinga","","","Tarafa|Taarafa","Division"
42981,118,"KEN","Kenya",1,"Central",4,"Murang'a",13,"Gatanga","","","Tarafa|Taarafa","Division"
42982,118,"KEN","Kenya",1,"Central",4,"Murang'a",14,"Kandara","","","Tarafa|Taarafa","Division"
42983,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema","","","Tarafa|Taarafa","Division"
42984,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo","","","Tarafa|Taarafa","Division"
42985,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu","","","Tarafa|Taarafa","Division"
42986,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu","","","Tarafa|Taarafa","Division"
42987,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop","","","Tarafa|Taarafa","Division"
42988,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri","","","Tarafa|Taarafa","Division"
42989,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa","","","Tarafa|Taarafa","Division"
42990,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou","","","Tarafa|Taarafa","Division"
42991,118,"KEN","Kenya",1,"Central",5,"Nyandarua",23,"Ol Joro Orok","","","Tarafa|Taarafa","Division"
42992,118,"KEN","Kenya",1,"Central",6,"Nyeri",24,"Aberdare Forest and National Park","","","Tarafa|Taarafa","Division"
42993,118,"KEN","Kenya",1,"Central",6,"Nyeri",25,"Kieni East","","","Tarafa|Taarafa","Division"
42994,118,"KEN","Kenya",1,"Central",6,"Nyeri",26,"Kieni West","","","Tarafa|Taarafa","Division"
42995,118,"KEN","Kenya",1,"Central",6,"Nyeri",27,"Mathira","","","Tarafa|Taarafa","Division"
42996,118,"KEN","Kenya",1,"Central",6,"Nyeri",28,"Mt. Kenya Forest and National Park","","","Tarafa|Taarafa","Division"
42997,118,"KEN","Kenya",1,"Central",6,"Nyeri",29,"Mukurweini","","","Tarafa|Taarafa","Division"
42998,118,"KEN","Kenya",1,"Central",6,"Nyeri",30,"Municipality","","","Tarafa|Taarafa","Division"
42999,118,"KEN","Kenya",1,"Central",6,"Nyeri",31,"Othaya","","","Tarafa|Taarafa","Division"
43000,118,"KEN","Kenya",1,"Central",6,"Nyeri",32,"Tetu","","","Tarafa|Taarafa","Division"
43001,118,"KEN","Kenya",2,"Coast",7,"Kilifi",33,"Bahari","","","Tarafa|Taarafa","Division"
43002,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze","","","Tarafa|Taarafa","Division"
43003,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli","","","Tarafa|Taarafa","Division"
43004,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi","","","Tarafa|Taarafa","Division"
43005,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango","","","Tarafa|Taarafa","Division"
43006,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo","","","Tarafa|Taarafa","Division"
43007,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga","","","Tarafa|Taarafa","Division"
43008,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni","","","Tarafa|Taarafa","Division"
43009,118,"KEN","Kenya",2,"Coast",9,"Lamu",41,"Amu","","","Tarafa|Taarafa","Division"
