"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","ID_5","NAME_5","TYPE_5","ENGTYPE_5"
36613,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",1,"Gituamba","Kata Ndogo","Sub location"
36614,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",2,"Kairi","Kata Ndogo","Sub location"
36615,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",3,"Kamwangi","Kata Ndogo","Sub location"
36616,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",4,"Kanyoni","Kata Ndogo","Sub location"
36617,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",5,"Kiriko","Kata Ndogo","Sub location"
36618,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",6,"Makwa","Kata Ndogo","Sub location"
36619,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",7,"Mataara","Kata Ndogo","Sub location"
36620,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",8,"Ngorongo","Kata Ndogo","Sub location"
36621,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",9,"Gachika","Kata Ndogo","Sub location"
36622,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",10,"Gatitu","Kata Ndogo","Sub location"
36623,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",11,"Handege","Kata Ndogo","Sub location"
36624,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",12,"Kiamwangi","Kata Ndogo","Sub location"
36625,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",13,"Kiamworia","Kata Ndogo","Sub location"
36626,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",14,"Kiganjo","Kata Ndogo","Sub location"
36627,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",15,"Mundoro","Kata Ndogo","Sub location"
36628,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",16,"Nembu","Kata Ndogo","Sub location"
36629,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",17,"Ritho","Kata Ndogo","Sub location"
36630,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",18,"Gatukuyu","Kata Ndogo","Sub location"
36631,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",19,"Karuri","Kata Ndogo","Sub location"
36632,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",20,"Mangu","Kata Ndogo","Sub location"
36633,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",21,"Miteero","Kata Ndogo","Sub location"
36634,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",22,"Mukurwe","Kata Ndogo","Sub location"
36635,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",23,"Nyamang'ara","Kata Ndogo","Sub location"
36636,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",24,"Gacharage","Kata Ndogo","Sub location"
36637,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",25,"Gakoe","Kata Ndogo","Sub location"
36638,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",26,"Gatei","Kata Ndogo","Sub location"
36639,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",27,"Gathaite","Kata Ndogo","Sub location"
36640,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",28,"Gitwe","Kata Ndogo","Sub location"
36641,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",29,"Kamunyaka","Kata Ndogo","Sub location"
36642,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",30,"Karatu","Kata Ndogo","Sub location"
36643,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",31,"Karinga","Kata Ndogo","Sub location"
36644,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",32,"Kieni","Kata Ndogo","Sub location"
36645,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",33,"Njahi","Kata Ndogo","Sub location"
36646,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",34,"Gathage","Kata Ndogo","Sub location"
36647,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",35,"Githungucu","Kata Ndogo","Sub location"
36648,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",36,"Ituru","Kata Ndogo","Sub location"
