"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2559,187,"RWA","Rwanda",1,"Butare","","Astrida","Préfecture|Prefegitura","Prefecture"
2560,187,"RWA","Rwanda",2,"Byumba","","","Préfecture|Prefegitura","Prefecture"
2561,187,"RWA","Rwanda",3,"Cyangugu","","Shangugu","Préfecture|Prefegitura","Prefecture"
2562,187,"RWA","Rwanda",4,"Gikongoro","","","Préfecture|Prefegitura","Prefecture"
2563,187,"RWA","Rwanda",5,"Gisenyi","","Kisenyi","Préfecture|Prefegitura","Prefecture"
2564,187,"RWA","Rwanda",6,"Gitarama","","","Préfecture|Prefegitura","Prefecture"
2565,187,"RWA","Rwanda",7,"Kibungu","","","Préfecture|Prefegitura","Prefecture"
2566,187,"RWA","Rwanda",8,"Kibuye","","","Préfecture|Prefegitura","Prefecture"
2567,187,"RWA","Rwanda",9,"Kigali","","","Préfecture|Prefegitura","Prefecture"
2568,187,"RWA","Rwanda",10,"Ruhengeri","","","Préfecture|Prefegitura","Prefecture"
