"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
23409,187,"RWA","Rwanda",2,"Byumba",23,"Cyumba","","","Commune","Commune"
23410,187,"RWA","Rwanda",2,"Byumba",24,"Cyungo","","","Commune","Commune"
23411,187,"RWA","Rwanda",2,"Byumba",25,"Giti","","","Commune","Commune"
23412,187,"RWA","Rwanda",2,"Byumba",26,"Gituza","","","Commune","Commune"
23413,187,"RWA","Rwanda",2,"Byumba",27,"Kibali","","","Commune","Commune"
23414,187,"RWA","Rwanda",2,"Byumba",28,"Kinyami","","","Commune","Commune"
23415,187,"RWA","Rwanda",2,"Byumba",29,"Kivuye","","","Commune","Commune"
23416,187,"RWA","Rwanda",2,"Byumba",30,"Kiyombe","","","Commune","Commune"
23417,187,"RWA","Rwanda",2,"Byumba",31,"Muhura","","","Commune","Commune"
23418,187,"RWA","Rwanda",2,"Byumba",32,"Mukarange","","","Commune","Commune"
23419,187,"RWA","Rwanda",2,"Byumba",33,"Murambi","","","Commune","Commune"
23420,187,"RWA","Rwanda",2,"Byumba",34,"Muvumba","","","Commune","Commune"
23421,187,"RWA","Rwanda",2,"Byumba",35,"Ngarama","","","Commune","Commune"
23422,187,"RWA","Rwanda",2,"Byumba",36,"Rutare","","","Commune","Commune"
23423,187,"RWA","Rwanda",2,"Byumba",37,"Tumba","","","Commune","Commune"
23424,187,"RWA","Rwanda",3,"Cyangugu",38,"Bugarama","","","Commune","Commune"
23425,187,"RWA","Rwanda",3,"Cyangugu",39,"Cyimbogo","","","Commune","Commune"
23426,187,"RWA","Rwanda",3,"Cyangugu",40,"Gafunzo","","","Commune","Commune"
23427,187,"RWA","Rwanda",3,"Cyangugu",41,"Gatare","","","Commune","Commune"
23428,187,"RWA","Rwanda",3,"Cyangugu",42,"Gishoma","","","Commune","Commune"
23429,187,"RWA","Rwanda",3,"Cyangugu",43,"Gisuma","","","Commune","Commune"
23430,187,"RWA","Rwanda",3,"Cyangugu",44,"Kamembe","","","Commune","Commune"
23431,187,"RWA","Rwanda",3,"Cyangugu",45,"Karengera","","","Commune","Commune"
23432,187,"RWA","Rwanda",3,"Cyangugu",46,"Kirambo","","","Commune","Commune"
23433,187,"RWA","Rwanda",3,"Cyangugu",47,"Nyakabuye","","","Commune","Commune"
23434,187,"RWA","Rwanda",4,"Gikongoro",48,"Karama","","","Commune","Commune"
23435,187,"RWA","Rwanda",4,"Gikongoro",49,"Karambo","","","Commune","Commune"
29669,187,"RWA","Rwanda",2,"Byumba",22,"Bwisige","","","Commune","Commune"
32045,187,"RWA","Rwanda",1,"Butare",1,"Gishamvu","","","Commune","Commune"
32046,187,"RWA","Rwanda",1,"Butare",2,"Huye","","","Commune","Commune"
32047,187,"RWA","Rwanda",1,"Butare",3,"Kibayi","","","Commune","Commune"
32048,187,"RWA","Rwanda",1,"Butare",4,"Kigembe","","","Commune","Commune"
32049,187,"RWA","Rwanda",1,"Butare",5,"Maraba","","","Commune","Commune"
32050,187,"RWA","Rwanda",1,"Butare",6,"Mbazi","","","Commune","Commune"
32051,187,"RWA","Rwanda",1,"Butare",7,"Muganzi","","Muganza","Commune","Commune"
32052,187,"RWA","Rwanda",1,"Butare",8,"Mugusa","","","Commune","Commune"
32053,187,"RWA","Rwanda",1,"Butare",9,"Muyaga","","","Commune","Commune"
32054,187,"RWA","Rwanda",1,"Butare",10,"Muyira","","","Commune","Commune"
32055,187,"RWA","Rwanda",1,"Butare",11,"Ndora","","","Commune","Commune"
32056,187,"RWA","Rwanda",1,"Butare",12,"Ngoma","","","Commune","Commune"
32057,187,"RWA","Rwanda",1,"Butare",13,"Ntyazo","","","Commune","Commune"
32058,187,"RWA","Rwanda",1,"Butare",14,"Nyabisindu","","","Commune","Commune"
32059,187,"RWA","Rwanda",1,"Butare",15,"Nyakizu","","","Commune","Commune"
32060,187,"RWA","Rwanda",1,"Butare",16,"Nyaruhengeri","","","Commune","Commune"
32061,187,"RWA","Rwanda",1,"Butare",17,"Ruhashya","","","Commune","Commune"
32062,187,"RWA","Rwanda",1,"Butare",18,"Runyinya","","","Commune","Commune"
32063,187,"RWA","Rwanda",1,"Butare",19,"Rusatira","","","Commune","Commune"
32064,187,"RWA","Rwanda",1,"Butare",20,"Shyanda","","","Commune","Commune"
32065,187,"RWA","Rwanda",2,"Byumba",21,"Buyoga","","","Commune","Commune"
32066,187,"RWA","Rwanda",4,"Gikongoro",50,"Kinyamakara","","","Commune","Commune"
32067,187,"RWA","Rwanda",4,"Gikongoro",51,"Kivu","","","Commune","Commune"
32068,187,"RWA","Rwanda",4,"Gikongoro",52,"Mubuga","","","Commune","Commune"
32069,187,"RWA","Rwanda",4,"Gikongoro",53,"Mudasomwa","","","Commune","Commune"
32070,187,"RWA","Rwanda",4,"Gikongoro",54,"Muko","","","Commune","Commune"
